1,0,3,"Mr",male,22,1,0,A/5 21171,7.25,,S
2,1,1,"Mrs",female,38,1,0,PC 17599,71.2833,C85,C
3,1,3,"Miss",female,26,0,0,STON/O2. 3101282,7.925,,S
4,1,1,"Mrs",female,35,1,0,113803,53.1,C123,S
5,0,3,"Mr",male,35,0,0,373450,8.05,,S
6,0,3,"Mr",male,,0,0,330877,8.4583,,Q
7,0,1,"Mr",male,54,0,0,17463,51.8625,E46,S
8,0,3,"Master",male,2,3,1,349909,21.075,,S
9,1,3,"Mrs",female,27,0,2,347742,11.1333,,S
10,1,2,"Mrs",female,14,1,0,237736,30.0708,,C
11,1,3,"Miss",female,4,1,1,PP 9549,16.7,G6,S
12,1,1,"Miss",female,58,0,0,113783,26.55,C103,S
13,0,3,"Mr",male,20,0,0,A/5. 2151,8.05,,S
14,0,3,"Mr",male,39,1,5,347082,31.275,,S
15,0,3,"Miss",female,14,0,0,350406,7.8542,,S
16,1,2,"Mrs",female,55,0,0,248706,16,,S
17,0,3,"Master",male,2,4,1,382652,29.125,,Q
18,1,2,"Mr",male,,0,0,244373,13,,S
19,0,3,"Mrs",female,31,1,0,345763,18,,S
20,1,3,"Mrs",female,,0,0,2649,7.225,,C
21,0,2,"Mr",male,35,0,0,239865,26,,S
22,1,2,"Mr",male,34,0,0,248698,13,D56,S
23,1,3,"Miss",female,15,0,0,330923,8.0292,,Q
24,1,1,"Mr",male,28,0,0,113788,35.5,A6,S
25,0,3,"Miss",female,8,3,1,349909,21.075,,S
26,1,3,"Mrs",female,38,1,5,347077,31.3875,,S
27,0,3,"Mr",male,,0,0,2631,7.225,,C
28,0,1,"Mr",male,19,3,2,19950,263,C23 C25 C27,S
29,1,3,"Miss",female,,0,0,330959,7.8792,,Q
30,0,3,"Mr",male,,0,0,349216,7.8958,,S
31,0,1,"Don",male,40,0,0,PC 17601,27.7208,,C
32,1,1,"Mrs",female,,1,0,PC 17569,146.5208,B78,C
33,1,3,"Miss",female,,0,0,335677,7.75,,Q
34,0,2,"Mr",male,66,0,0,C.A. 24579,10.5,,S
35,0,1,"Mr",male,28,1,0,PC 17604,82.1708,,C
36,0,1,"Mr",male,42,1,0,113789,52,,S
37,1,3,"Mr",male,,0,0,2677,7.2292,,C
38,0,3,"Mr",male,21,0,0,A./5. 2152,8.05,,S
39,0,3,"Miss",female,18,2,0,345764,18,,S
40,1,3,"Miss",female,14,1,0,2651,11.2417,,C
41,0,3,"Mrs",female,40,1,0,7546,9.475,,S
42,0,2,"Mrs",female,27,1,0,11668,21,,S
43,0,3,"Mr",male,,0,0,349253,7.8958,,C
44,1,2,"Miss",female,3,1,2,SC/Paris 2123,41.5792,,C
45,1,3,"Miss",female,19,0,0,330958,7.8792,,Q
46,0,3,"Mr",male,,0,0,S.C./A.4. 23567,8.05,,S
47,0,3,"Mr",male,,1,0,370371,15.5,,Q
48,1,3,"Miss",female,,0,0,14311,7.75,,Q
49,0,3,"Mr",male,,2,0,2662,21.6792,,C
50,0,3,"Mrs",female,18,1,0,349237,17.8,,S
51,0,3,"Master",male,7,4,1,3101295,39.6875,,S
52,0,3,"Mr",male,21,0,0,A/4. 39886,7.8,,S
53,1,1,"Mrs",female,49,1,0,PC 17572,76.7292,D33,C
54,1,2,"Mrs",female,29,1,0,2926,26,,S
55,0,1,"Mr",male,65,0,1,113509,61.9792,B30,C
56,1,1,"Mr",male,,0,0,19947,35.5,C52,S
57,1,2,"Miss",female,21,0,0,C.A. 31026,10.5,,S
58,0,3,"Mr",male,28.5,0,0,2697,7.2292,,C
59,1,2,"Miss",female,5,1,2,C.A. 34651,27.75,,S
60,0,3,"Master",male,11,5,2,CA 2144,46.9,,S
61,0,3,"Mr",male,22,0,0,2669,7.2292,,C
62,1,1,"Miss",female,38,0,0,113572,80,B28,
63,0,1,"Mr",male,45,1,0,36973,83.475,C83,S
64,0,3,"Master",male,4,3,2,347088,27.9,,S
65,0,1,"Mr",male,,0,0,PC 17605,27.7208,,C
66,1,3,"Master",male,,1,1,2661,15.2458,,C
67,1,2,"Mrs",female,29,0,0,C.A. 29395,10.5,F33,S
68,0,3,"Mr",male,19,0,0,S.P. 3464,8.1583,,S
69,1,3,"Miss",female,17,4,2,3101281,7.925,,S
70,0,3,"Mr",male,26,2,0,315151,8.6625,,S
71,0,2,"Mr",male,32,0,0,C.A. 33111,10.5,,S
72,0,3,"Miss",female,16,5,2,CA 2144,46.9,,S
73,0,2,"Mr",male,21,0,0,S.O.C. 14879,73.5,,S
74,0,3,"Mr",male,26,1,0,2680,14.4542,,C
75,1,3,"Mr",male,32,0,0,1601,56.4958,,S
76,0,3,"Mr",male,25,0,0,348123,7.65,F G73,S
77,0,3,"Mr",male,,0,0,349208,7.8958,,S
78,0,3,"Mr",male,,0,0,374746,8.05,,S
79,1,2,"Master",male,0.83,0,2,248738,29,,S
80,1,3,"Miss",female,30,0,0,364516,12.475,,S
81,0,3,"Mr",male,22,0,0,345767,9,,S
82,1,3,"Mr",male,29,0,0,345779,9.5,,S
83,1,3,"Miss",female,,0,0,330932,7.7875,,Q
84,0,1,"Mr",male,28,0,0,113059,47.1,,S
85,1,2,"Miss",female,17,0,0,SO/C 14885,10.5,,S
86,1,3,"Mrs",female,33,3,0,3101278,15.85,,S
87,0,3,"Mr",male,16,1,3,W./C. 6608,34.375,,S
88,0,3,"Mr",male,,0,0,SOTON/OQ 392086,8.05,,S
89,1,1,"Miss",female,23,3,2,19950,263,C23 C25 C27,S
90,0,3,"Mr",male,24,0,0,343275,8.05,,S
91,0,3,"Mr",male,29,0,0,343276,8.05,,S
92,0,3,"Mr",male,20,0,0,347466,7.8542,,S
93,0,1,"Mr",male,46,1,0,W.E.P. 5734,61.175,E31,S
94,0,3,"Mr",male,26,1,2,C.A. 2315,20.575,,S
95,0,3,"Mr",male,59,0,0,364500,7.25,,S
96,0,3,"Mr",male,,0,0,374910,8.05,,S
97,0,1,"Mr",male,71,0,0,PC 17754,34.6542,A5,C
98,1,1,"Mr",male,23,0,1,PC 17759,63.3583,D10 D12,C
99,1,2,"Mrs",female,34,0,1,231919,23,,S
100,0,2,"Mr",male,34,1,0,244367,26,,S
101,0,3,"Miss",female,28,0,0,349245,7.8958,,S
102,0,3,"Mr",male,,0,0,349215,7.8958,,S
103,0,1,"Mr",male,21,0,1,35281,77.2875,D26,S
104,0,3,"Mr",male,33,0,0,7540,8.6542,,S
105,0,3,"Mr",male,37,2,0,3101276,7.925,,S
106,0,3,"Mr",male,28,0,0,349207,7.8958,,S
107,1,3,"Miss",female,21,0,0,343120,7.65,,S
108,1,3,"Mr",male,,0,0,312991,7.775,,S
109,0,3,"Mr",male,38,0,0,349249,7.8958,,S
110,1,3,"Miss",female,,1,0,371110,24.15,,Q
111,0,1,"Mr",male,47,0,0,110465,52,C110,S
112,0,3,"Miss",female,14.5,1,0,2665,14.4542,,C
113,0,3,"Mr",male,22,0,0,324669,8.05,,S
114,0,3,"Miss",female,20,1,0,4136,9.825,,S
115,0,3,"Miss",female,17,0,0,2627,14.4583,,C
116,0,3,"Mr",male,21,0,0,STON/O 2. 3101294,7.925,,S
117,0,3,"Mr",male,70.5,0,0,370369,7.75,,Q
118,0,2,"Mr",male,29,1,0,11668,21,,S
119,0,1,"Mr",male,24,0,1,PC 17558,247.5208,B58 B60,C
120,0,3,"Miss",female,2,4,2,347082,31.275,,S
121,0,2,"Mr",male,21,2,0,S.O.C. 14879,73.5,,S
122,0,3,"Mr",male,,0,0,A4. 54510,8.05,,S
123,0,2,"Mr",male,32.5,1,0,237736,30.0708,,C
124,1,2,"Miss",female,32.5,0,0,27267,13,E101,S
125,0,1,"Mr",male,54,0,1,35281,77.2875,D26,S
126,1,3,"Master",male,12,1,0,2651,11.2417,,C
127,0,3,"Mr",male,,0,0,370372,7.75,,Q
128,1,3,"Mr",male,24,0,0,C 17369,7.1417,,S
129,1,3,"Miss",female,,1,1,2668,22.3583,F E69,C
130,0,3,"Mr",male,45,0,0,347061,6.975,,S
131,0,3,"Mr",male,33,0,0,349241,7.8958,,C
132,0,3,"Mr",male,20,0,0,SOTON/O.Q. 3101307,7.05,,S
133,0,3,"Mrs",female,47,1,0,A/5. 3337,14.5,,S
134,1,2,"Mrs",female,29,1,0,228414,26,,S
135,0,2,"Mr",male,25,0,0,C.A. 29178,13,,S
136,0,2,"Mr",male,23,0,0,SC/PARIS 2133,15.0458,,C
137,1,1,"Miss",female,19,0,2,11752,26.2833,D47,S
138,0,1,"Mr",male,37,1,0,113803,53.1,C123,S
139,0,3,"Mr",male,16,0,0,7534,9.2167,,S
140,0,1,"Mr",male,24,0,0,PC 17593,79.2,B86,C
141,0,3,"Mrs",female,,0,2,2678,15.2458,,C
142,1,3,"Miss",female,22,0,0,347081,7.75,,S
143,1,3,"Mrs",female,24,1,0,STON/O2. 3101279,15.85,,S
144,0,3,"Mr",male,19,0,0,365222,6.75,,Q
145,0,2,"Mr",male,18,0,0,231945,11.5,,S
146,0,2,"Mr",male,19,1,1,C.A. 33112,36.75,,S
147,1,3,"Mr",male,27,0,0,350043,7.7958,,S
148,0,3,"Miss",female,9,2,2,W./C. 6608,34.375,,S
149,0,2,"Mr",male,36.5,0,2,230080,26,F2,S
150,0,2,"Rev",male,42,0,0,244310,13,,S
151,0,2,"Rev",male,51,0,0,S.O.P. 1166,12.525,,S
152,1,1,"Mrs",female,22,1,0,113776,66.6,C2,S
153,0,3,"Mr",male,55.5,0,0,A.5. 11206,8.05,,S
154,0,3,"Mr",male,40.5,0,2,A/5. 851,14.5,,S
155,0,3,"Mr",male,,0,0,Fa 265302,7.3125,,S
156,0,1,"Mr",male,51,0,1,PC 17597,61.3792,,C
157,1,3,"Miss",female,16,0,0,35851,7.7333,,Q
158,0,3,"Mr",male,30,0,0,SOTON/OQ 392090,8.05,,S
159,0,3,"Mr",male,,0,0,315037,8.6625,,S
160,0,3,"Master",male,,8,2,CA. 2343,69.55,,S
161,0,3,"Mr",male,44,0,1,371362,16.1,,S
162,1,2,"Mrs",female,40,0,0,C.A. 33595,15.75,,S
163,0,3,"Mr",male,26,0,0,347068,7.775,,S
164,0,3,"Mr",male,17,0,0,315093,8.6625,,S
165,0,3,"Master",male,1,4,1,3101295,39.6875,,S
166,1,3,"Master",male,9,0,2,363291,20.525,,S
167,1,1,"Mrs",female,,0,1,113505,55,E33,S
168,0,3,"Mrs",female,45,1,4,347088,27.9,,S
169,0,1,"Mr",male,,0,0,PC 17318,25.925,,S
170,0,3,"Mr",male,28,0,0,1601,56.4958,,S
171,0,1,"Mr",male,61,0,0,111240,33.5,B19,S
172,0,3,"Master",male,4,4,1,382652,29.125,,Q
173,1,3,"Miss",female,1,1,1,347742,11.1333,,S
174,0,3,"Mr",male,21,0,0,STON/O 2. 3101280,7.925,,S
175,0,1,"Mr",male,56,0,0,17764,30.6958,A7,C
176,0,3,"Mr",male,18,1,1,350404,7.8542,,S
177,0,3,"Master",male,,3,1,4133,25.4667,,S
178,0,1,"Miss",female,50,0,0,PC 17595,28.7125,C49,C
179,0,2,"Mr",male,30,0,0,250653,13,,S
180,0,3,"Mr",male,36,0,0,LINE,0,,S
181,0,3,"Miss",female,,8,2,CA. 2343,69.55,,S
182,0,2,"Mr",male,,0,0,SC/PARIS 2131,15.05,,C
183,0,3,"Master",male,9,4,2,347077,31.3875,,S
184,1,2,"Master",male,1,2,1,230136,39,F4,S
185,1,3,"Miss",female,4,0,2,315153,22.025,,S
186,0,1,"Mr",male,,0,0,113767,50,A32,S
187,1,3,"Mrs",female,,1,0,370365,15.5,,Q
188,1,1,"Mr",male,45,0,0,111428,26.55,,S
189,0,3,"Mr",male,40,1,1,364849,15.5,,Q
190,0,3,"Mr",male,36,0,0,349247,7.8958,,S
191,1,2,"Mrs",female,32,0,0,234604,13,,S
192,0,2,"Mr",male,19,0,0,28424,13,,S
193,1,3,"Miss",female,19,1,0,350046,7.8542,,S
194,1,2,"Master",male,3,1,1,230080,26,F2,S
195,1,1,"Mrs",female,44,0,0,PC 17610,27.7208,B4,C
196,1,1,"Miss",female,58,0,0,PC 17569,146.5208,B80,C
197,0,3,"Mr",male,,0,0,368703,7.75,,Q
198,0,3,"Mr",male,42,0,1,4579,8.4042,,S
199,1,3,"Miss",female,,0,0,370370,7.75,,Q
200,0,2,"Miss",female,24,0,0,248747,13,,S
201,0,3,"Mr",male,28,0,0,345770,9.5,,S
202,0,3,"Mr",male,,8,2,CA. 2343,69.55,,S
203,0,3,"Mr",male,34,0,0,3101264,6.4958,,S
204,0,3,"Mr",male,45.5,0,0,2628,7.225,,C
205,1,3,"Mr",male,18,0,0,A/5 3540,8.05,,S
206,0,3,"Miss",female,2,0,1,347054,10.4625,G6,S
207,0,3,"Mr",male,32,1,0,3101278,15.85,,S
208,1,3,"Mr",male,26,0,0,2699,18.7875,,C
209,1,3,"Miss",female,16,0,0,367231,7.75,,Q
210,1,1,"Mr",male,40,0,0,112277,31,A31,C
211,0,3,"Mr",male,24,0,0,SOTON/O.Q. 3101311,7.05,,S
212,1,2,"Miss",female,35,0,0,F.C.C. 13528,21,,S
213,0,3,"Mr",male,22,0,0,A/5 21174,7.25,,S
214,0,2,"Mr",male,30,0,0,250646,13,,S
215,0,3,"Mr",male,,1,0,367229,7.75,,Q
216,1,1,"Miss",female,31,1,0,35273,113.275,D36,C
217,1,3,"Miss",female,27,0,0,STON/O2. 3101283,7.925,,S
218,0,2,"Mr",male,42,1,0,243847,27,,S
219,1,1,"Miss",female,32,0,0,11813,76.2917,D15,C
220,0,2,"Mr",male,30,0,0,W/C 14208,10.5,,S
221,1,3,"Mr",male,16,0,0,SOTON/OQ 392089,8.05,,S
222,0,2,"Mr",male,27,0,0,220367,13,,S
223,0,3,"Mr",male,51,0,0,21440,8.05,,S
224,0,3,"Mr",male,,0,0,349234,7.8958,,S
225,1,1,"Mr",male,38,1,0,19943,90,C93,S
226,0,3,"Mr",male,22,0,0,PP 4348,9.35,,S
227,1,2,"Mr",male,19,0,0,SW/PP 751,10.5,,S
228,0,3,"Mr",male,20.5,0,0,A/5 21173,7.25,,S
229,0,2,"Mr",male,18,0,0,236171,13,,S
230,0,3,"Miss",female,,3,1,4133,25.4667,,S
231,1,1,"Mrs",female,35,1,0,36973,83.475,C83,S
232,0,3,"Mr",male,29,0,0,347067,7.775,,S
233,0,2,"Mr",male,59,0,0,237442,13.5,,S
234,1,3,"Miss",female,5,4,2,347077,31.3875,,S
235,0,2,"Mr",male,24,0,0,C.A. 29566,10.5,,S
236,0,3,"Miss",female,,0,0,W./C. 6609,7.55,,S
237,0,2,"Mr",male,44,1,0,26707,26,,S
238,1,2,"Miss",female,8,0,2,C.A. 31921,26.25,,S
239,0,2,"Mr",male,19,0,0,28665,10.5,,S
240,0,2,"Mr",male,33,0,0,SCO/W 1585,12.275,,S
241,0,3,"Miss",female,,1,0,2665,14.4542,,C
242,1,3,"Miss",female,,1,0,367230,15.5,,Q
243,0,2,"Mr",male,29,0,0,W./C. 14263,10.5,,S
244,0,3,"Mr",male,22,0,0,STON/O 2. 3101275,7.125,,S
245,0,3,"Mr",male,30,0,0,2694,7.225,,C
246,0,1,"Dr",male,44,2,0,19928,90,C78,Q
247,0,3,"Miss",female,25,0,0,347071,7.775,,S
248,1,2,"Mrs",female,24,0,2,250649,14.5,,S
249,1,1,"Mr",male,37,1,1,11751,52.5542,D35,S
250,0,2,"Rev",male,54,1,0,244252,26,,S
251,0,3,"Mr",male,,0,0,362316,7.25,,S
252,0,3,"Mrs",female,29,1,1,347054,10.4625,G6,S
253,0,1,"Mr",male,62,0,0,113514,26.55,C87,S
254,0,3,"Mr",male,30,1,0,A/5. 3336,16.1,,S
255,0,3,"Mrs",female,41,0,2,370129,20.2125,,S
256,1,3,"Mrs",female,29,0,2,2650,15.2458,,C
257,1,1,"Mrs",female,,0,0,PC 17585,79.2,,C
258,1,1,"Miss",female,30,0,0,110152,86.5,B77,S
259,1,1,"Miss",female,35,0,0,PC 17755,512.3292,,C
260,1,2,"Mrs",female,50,0,1,230433,26,,S
261,0,3,"Mr",male,,0,0,384461,7.75,,Q
262,1,3,"Master",male,3,4,2,347077,31.3875,,S
263,0,1,"Mr",male,52,1,1,110413,79.65,E67,S
264,0,1,"Mr",male,40,0,0,112059,0,B94,S
265,0,3,"Miss",female,,0,0,382649,7.75,,Q
266,0,2,"Mr",male,36,0,0,C.A. 17248,10.5,,S
267,0,3,"Mr",male,16,4,1,3101295,39.6875,,S
268,1,3,"Mr",male,25,1,0,347083,7.775,,S
269,1,1,"Mrs",female,58,0,1,PC 17582,153.4625,C125,S
270,1,1,"Miss",female,35,0,0,PC 17760,135.6333,C99,S
271,0,1,"Mr",male,,0,0,113798,31,,S
272,1,3,"Mr",male,25,0,0,LINE,0,,S
273,1,2,"Mrs",female,41,0,1,250644,19.5,,S
274,0,1,"Mr",male,37,0,1,PC 17596,29.7,C118,C
275,1,3,"Miss",female,,0,0,370375,7.75,,Q
276,1,1,"Miss",female,63,1,0,13502,77.9583,D7,S
277,0,3,"Miss",female,45,0,0,347073,7.75,,S
278,0,2,"Mr",male,,0,0,239853,0,,S
279,0,3,"Master",male,7,4,1,382652,29.125,,Q
280,1,3,"Mrs",female,35,1,1,C.A. 2673,20.25,,S
281,0,3,"Mr",male,65,0,0,336439,7.75,,Q
282,0,3,"Mr",male,28,0,0,347464,7.8542,,S
283,0,3,"Mr",male,16,0,0,345778,9.5,,S
284,1,3,"Mr",male,19,0,0,A/5. 10482,8.05,,S
285,0,1,"Mr",male,,0,0,113056,26,A19,S
286,0,3,"Mr",male,33,0,0,349239,8.6625,,C
287,1,3,"Mr",male,30,0,0,345774,9.5,,S
288,0,3,"Mr",male,22,0,0,349206,7.8958,,S
289,1,2,"Mr",male,42,0,0,237798,13,,S
290,1,3,"Miss",female,22,0,0,370373,7.75,,Q
291,1,1,"Miss",female,26,0,0,19877,78.85,,S
292,1,1,"Mrs",female,19,1,0,11967,91.0792,B49,C
293,0,2,"Mr",male,36,0,0,SC/Paris 2163,12.875,D,C
294,0,3,"Miss",female,24,0,0,349236,8.85,,S
295,0,3,"Mr",male,24,0,0,349233,7.8958,,S
296,0,1,"Mr",male,,0,0,PC 17612,27.7208,,C
297,0,3,"Mr",male,23.5,0,0,2693,7.2292,,C
